"name"
"Gene Tierney"
"Jennifer Tilly"
"Meg Tilly"
"Richard Todd"
"Marisa Tomei"
"Lily Tomlin"
"Franchot Tone"
"Topol"
"Rip Torn"
"Lee Tracy"
"Spencer Tracy"
"Henry Travers"
"John Travolta"
"Claire Trevor"
"Massimo Troisi"
"Stanley Tucci"
"Tom Tully"
"Kathleen Turner"
"Lana Turner"
"Susan Tyrrell"
"Cicely Tyson"
"Liv Ullmann"
"Miyoshi Umeki"
"Mary Ure"
"Peter Ustinov"
"Brenda Vaccaro"
"Jo Van Fleet"
"Diane Varsi"
"Robert Vaughn"
"Alicia Vikander"
"Jon Voight"
"Max von Sydow"
"Mark Wahlberg"
"Christopher Walken"
"Quvenzhané Wallis"
"Julie Walters"
"Christoph Waltz"
"Jack Warden"
"H. B. Warner"
"Lesley Ann Warren"
"Denzel Washington"
"Ken Watanabe"
"Ethel Waters"
"Sam Waterston"
"Emily Watson"
"Lucile Watson"
"Naomi Watts"
"John Wayne"
"Jacki Weaver"
"Sigourney Weaver"
"Clifton Webb"
"Rachel Weisz"
"Tuesday Weld"
"Orson Welles"
"Oskar Werner"
"Forest Whitaker"
"Stuart Whitman"
"James Whitmore"
"May Whitty"
"Richard Widmark"
"Dianne Wiest"
"Jack Wild"
"Cornel Wilde"
"Gene Wilder"
"Tom Wilkinson"
"Cara Williams"
"Michelle Williams"
"Robin Williams"
"Chill Wills"
"Paul Winfield"
"Oprah Winfrey"
"Debra Winger"
"Mare Winningham"
"Kate Winslet"
"Shelley Winters"
"Reese Witherspoon"
"Natalie Wood"
"Peggy Wood"
"Alfre Woodard"
"James Woods"
"Joanne Woodward"
"Monty Woolley"
"Teresa Wright"
"Margaret Wycherly"
"Jane Wyman"
"Ed Wynn"
"Diana Wynyard"
"Michelle Yeoh"
"Steven Yeun"
"Susannah York"
"Burt Young"
"Gig Young"
"Loretta Young"
"Roland Young"
"Youn Yuh-jung"
"Renée Zellweger"
"Catherine Zeta-Jones"
"Frank Borzage (Dramatic Picture)"
"Frank Borzage (Dramatic Picture)"
"Herbert Brenon (Dramatic Picture)"
"King Vidor (Dramatic Picture)"
"Lewis Milestone (Comedy Picture)"
"Ted Wilde (Comedy Picture)"
"Frank Lloyd"
"Lionel Barrymore"
"Harry Beaumont"
"Irving Cummings"
"Ernst Lubitsch"
"Lewis Milestone"
"Clarence Brown"
"Robert Z. Leonard"
"King Vidor"
"Norman Taurog"
